year,gender,insomnia_freq,sleep_cat,awakenings_freq,sleep_quality_cat,concentration_freq,fatigue_freq,skip_classes_freq,deadline_impact_cat,screen_freq_cat,caffeine_freq_cat,activity_freq_cat,stress_cat,performance_cat,screen_freq,sleep_hours,sleep_ord,caffeine,activity,stress,sleep_quality,insomnia,awakenings,concentration,fatigue,skip_classes,deadline_impact,performance
First year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,4,4,4,1,4,4,4,3,5,4,1
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Poor,3,7.5,4,3,4,4,1,4,4,4,4,3,4,1
Graduate student,Male,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Very poor,Often,Often,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Average,3,6.5,3,4,5,4,1,4,3,4,4,5,4,3
First year,Female,Every night,Less than 4 hours,Every night,Very poor,Often,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Poor,3,3.0,1,3,2,3,1,5,5,4,3,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,2,4,5,4,4,4,4,1
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,8.5,5,4,4,4,2,4,4,4,4,4,4,2
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,7.5,4,4,3,3,1,4,4,4,4,4,4,2
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,2,5,4,4,4,4,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,8.5,5,4,4,4,2,4,5,4,4,4,4,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,3,4,3,2,5,4,5,4,4,5,1
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,8.5,5,4,4,4,2,4,4,4,4,4,4,2
Third year,Male,Every night,7-8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,5,7.5,4,4,4,4,1,5,5,4,4,4,4,2
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,High stress,Poor,3,7.5,4,4,5,3,2,4,4,4,4,4,4,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,1,4,4,4,4,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,5,7.5,4,4,4,3,2,4,5,4,4,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,2,4,4,4,3,4,3,1
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Sometimes,Always,Always,Severe impact,Sometimes (3-4 times a week),Every day,Every day,High stress,Below Average,3,8.5,5,5,5,3,2,4,4,3,5,5,5,2
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Often,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,5,7.5,4,4,4,3,2,4,4,4,4,5,4,2
Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,2,4,5,4,4,5,5,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,4,4,3,1,4,4,4,3,4,4,2
Graduate student,Male,Every night,More than 8 hours,Sometimes (3-4 times a week),Poor,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,5,8.5,5,4,4,3,2,5,3,5,4,5,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,2,4,5,4,4,4,4,1
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,4,4,4,2,4,4,4,5,4,5,1
Third year,Female,Never,6-7 hours,Never,Good,Often,Sometimes,Never,Moderate impact,Every night,Never,Often (5-6 times a week),High stress,Excellent,5,6.5,3,1,4,3,4,1,1,4,3,1,3,5
Third year,Female,Every night,More than 8 hours,Every night,Very poor,Often,Rarely,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Average,3,8.5,5,3,2,3,1,5,5,4,2,2,2,3
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,4,7.5,4,4,5,3,2,4,4,4,4,4,4,1
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,1,5,4,5,4,4,4,1
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,1,4,4,4,4,4,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average,4,8.5,5,5,5,3,2,4,4,4,4,4,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,8.5,5,4,4,4,2,4,5,4,4,4,5,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,2,5,4,3,4,4,4,1
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Good,4,7.5,4,4,4,3,2,5,4,5,4,4,3,4
Second year,Female,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor,5,7.5,4,5,4,3,5,5,5,4,5,4,4,1
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,4,4,4,2,4,4,5,5,5,5,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,4,4,4,1,4,4,5,4,5,4,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,4,7.5,4,5,4,3,1,4,4,5,4,5,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,2,4,5,4,5,5,4,2
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good,3,7.5,4,3,3,2,2,4,4,3,3,3,3,4
Graduate student,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,5,5,4,4,4,5,2
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,1,4,4,4,4,3,3,1
Third year,Female,Rarely (1-2 times a week),4-5 hours,Rarely (1-2 times a week),Very poor,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Good,2,4.5,2,3,4,2,1,2,2,2,2,2,2,4
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,2,4,4,4,5,4,4,1
Third year,Female,Never,Less than 4 hours,Never,Good,Never,Rarely,Sometimes (1-2 times a week),Minor impact,Rarely (1-2 times a week),Never,Rarely (1-2 times a week),Low stress,Good,2,3.0,1,1,2,2,4,1,1,1,2,3,2,4
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Often,Always,Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Poor,4,7.5,4,3,5,4,2,4,4,4,4,5,4,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,4,4,3,2,5,4,4,4,4,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,4,4,3,2,4,4,4,4,4,4,2
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average,4,7.5,4,5,5,3,2,4,4,5,5,4,5,2
First year,Female,Sometimes (3-4 times a week),More than 8 hours,Sometimes (3-4 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,2,3,3,4,4,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Average,4,7.5,4,4,4,4,3,4,4,4,4,4,4,3
Third year,Male,Every night,More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Average,4,8.5,5,5,4,4,2,5,5,4,4,4,4,3
Third year,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Very poor,Often,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,1,3,5,4,5,4,4,1
Third year,Male,Every night,6-7 hours,Often (5-6 times a week),Poor,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,6.5,3,4,4,4,2,5,4,5,3,4,3,2
Graduate student,Male,Every night,7-8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Below Average,4,7.5,4,4,5,3,1,5,5,4,4,4,5,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Every day,Every day,High stress,Below Average,5,8.5,5,5,5,3,1,4,4,5,4,4,4,2
Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Always,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,2,4,5,5,4,3,4,2
Third year,Male,Every night,7-8 hours,Every night,Very poor,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,4,7.5,4,4,5,3,1,5,5,4,5,5,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Sometimes,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average,4,7.5,4,5,4,3,2,4,4,3,5,3,4,2
Second year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Sometimes,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,4,8.5,5,4,3,4,1,4,4,3,5,5,4,2
Second year,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Sometimes,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,2,5,4,3,4,4,5,2
Graduate student,Male,Every night,7-8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,2,5,5,4,4,4,5,2
Third year,Male,Sometimes (3-4 times a week),More than 8 hours,Every night,Poor,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Below Average,4,8.5,5,4,5,3,2,3,5,4,4,5,4,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,5,8.5,5,4,4,3,2,4,4,4,4,5,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Below Average,4,8.5,5,4,5,3,2,4,5,4,5,4,5,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Below Average,4,7.5,4,4,5,3,2,4,5,4,4,5,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,2,4,5,4,4,4,4,1
Third year,Female,Rarely (1-2 times a week),4-5 hours,Rarely (1-2 times a week),Good,Never,Often,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Average,3,4.5,2,4,4,3,4,2,2,1,4,3,3,3
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,7.5,4,5,4,4,2,5,4,5,4,4,4,2
Third year,Female,Never,Less than 4 hours,Never,Good,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Good,2,3.0,1,2,3,3,4,1,1,3,2,2,2,4
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Average,4,7.5,4,4,4,3,3,4,5,4,4,4,4,3
Third year,Male,Sometimes (3-4 times a week),More than 8 hours,Every night,Poor,Always,Always,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,3,8.5,5,4,4,3,2,3,5,5,5,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,4,7.5,4,4,5,3,1,4,4,4,3,4,4,1
Third year,Female,Rarely (1-2 times a week),4-5 hours,Never,Very good,Never,Sometimes,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Average,3,4.5,2,3,2,3,5,2,1,1,3,4,3,3
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,2,4,4,4,4,4,4,2
